Episode,Score,Pipes_Surpassed,Epsilon,Mean_Score_Last_100
115,-665.3274526468568,0,0.23374749498997996,-406.1721327214525
116,-527.9410338557823,0,0.23316633266533066,-409.42555985584454
117,-92.34503338282889,0,0.23258517034068138,-403.70697537296786
118,-144.36441032900473,0,0.23200400801603205,-399.0492427293369
119,-563.0674394903243,0,0.23142284569138277,-400.1521882140551
120,-227.29795137199733,0,0.23084168336673347,-397.2587495789493
121,-478.1539683866316,0,0.23026052104208417,-397.634212013316
122,-563.698320068723,0,0.22967935871743486,-397.9437498458881
123,-164.67242758519,0,0.22909819639278556,-397.149478067634
124,-280.7537940546023,0,0.22851703406813628,-398.2875543885716
125,-151.98984692754766,0,0.22793587174348698,-396.7682070302499
126,-161.59495969174043,0,0.22735470941883767,-396.85981557384986
127,-526.5905280522984,0,0.22677354709418837,-399.31325954204755
128,-478.51201645808635,0,0.22619238476953907,-398.79779135435115
129,-632.8136841318556,0,0.2256112224448898,-399.97986528999667
130,-372.2808672145074,0,0.22503006012024046,-397.92132760384396
131,-173.16473259538213,0,0.22444889779559118,-397.5642042992106
132,-564.3377337719896,0,0.22386773547094188,-401.15369652334664
133,-633.8342117161156,0,0.22328657314629258,-405.8801939993144
134,-523.9005836761175,0,0.2227054108216433,-408.79241791940217
135,-131.44883640182184,0,0.22212424849699397,-407.35189940132824
136,-186.89967237891415,0,0.2215430861723447,-404.62574374432495
137,-158.66329740723575,0,0.2209619238476954,-404.9289921043767
138,-404.1101592707005,0,0.2203807615230461,-403.22116442243515
139,-122.41018465529191,0,0.2197995991983968,-401.26408625532224
140,-267.2448194337819,0,0.21921843687374748,-396.9417840428331
141,-639.6200735868306,0,0.2186372745490982,-396.9510884213364
142,-369.93491172540325,0,0.2180561122244489,-396.08674028909087
143,-686.9080808588292,0,0.2174749498997996,-399.04864824541465
144,-360.11869579771377,0,0.21689378757515032,-400.19892398289056
145,-426.910748562292,0,0.216312625250501,-398.0611461244044
146,-289.09082954737244,0,0.2157314629258517,-395.55804074194464
147,-530.0143291338807,0,0.2151503006012024,-398.77755030030653
148,-515.9872403202403,0,0.2145691382765531,-401.087287809435
149,-515.6772896918364,0,0.2139879759519038,-399.97059557714914
150,-242.3365615738835,0,0.2134068136272545,-401.0661750582805
151,-684.25253054571,0,0.21282565130260522,-401.89059705853936
152,-337.17166478727415,0,0.2122444889779559,-399.2176344624144
153,-624.3844686362863,0,0.21166332665330662,-401.47175431505843
154,-628.7622637454165,0,0.2110821643286573,-404.782141776277
155,-681.6869289933417,0,0.210501002004008,-406.83973932956417
156,-379.1314114152719,0,0.20991983967935873,-404.65817283945546
157,-594.0518765617923,0,0.2093386773547094,-406.4444947535131
158,-163.51129588360413,0,0.20875751503006013,-401.749517393207
159,-339.02407187750737,0,0.20817635270541082,-400.15686674684423
160,-464.3987228126453,0,0.20759519038076152,-398.8804233263665
161,-114.79565931286925,0,0.20701402805611224,-398.13776979127294
162,-529.7561026431622,0,0.2064328657314629,-396.58784390333204
163,-174.82250753552285,0,0.20585170340681364,-394.566321747992
164,-521.8024588348711,0,0.20527054108216433,-395.98534249879066
165,-427.1523809989991,0,0.20468937875751503,-394.13340718430663
166,-492.4757619354151,0,0.20410821643286575,-396.3078145643756
167,-426.60324815720014,0,0.20352705410821642,-397.4067605389046
168,-564.4825457026964,0,0.20294589178356714,-400.7153968502464
169,-410.0502190781203,0,0.20236472945891784,-402.8652277817903
170,-542.8790585819713,0,0.20178356713426854,-404.9517685558882
171,-590.9281987411407,0,0.20120240480961923,-406.86273733094225
172,-280.82287923593356,0,0.20062124248496993,-403.1189815262524
173,-221.98278830747626,0,0.20004008016032065,-399.0868937200878
174,-690.1415475927723,0,0.19945891783567135,-403.82035792821347
175,-72.81038959527336,0,0.19887775551102205,-399.8155045979011
176,-445.22834154586224,0,0.19829659318637274,-398.9935535710749
